entity,type,indicator,fill_trust,state,days,total_pnl,avg_daily,sharpe,pnl_share_pct
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold uptrend,1337,96396.23,72.1,3.49,78.1
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bear,788,51277.96,65.07,3.08,39.9
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bull,1053,77156.55,73.27,3.56,60.1
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates falling,716,61334.8,85.66,4.59,46.6
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates rising,1165,70392.26,60.42,2.76,53.4
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil downtrend,928,63018.7,67.91,3.2,51.0
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil uptrend,850,60451.19,71.12,3.41,49.0
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,calm,406,31719.74,78.13,3.72,21.3
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,normal,1206,75318.43,62.45,3.03,50.6
BitcoinReaper_4_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,stressed,370,41710.12,112.73,5.75,28.0
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,DXY,low,strong dollar,989,33170.73,33.54,1.53,46.2
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,DXY,low,weak dollar,891,38602.41,43.32,1.96,53.8
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bear,379,10795.92,28.49,1.41,15.6
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bull,1398,58228.67,41.65,1.82,84.4
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold downtrend,441,14831.37,33.63,1.53,21.5
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold uptrend,1336,54193.22,40.56,1.8,78.5
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bear,787,19058.41,24.22,1.09,26.8
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bull,1053,51978.89,49.36,2.22,73.2
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates falling,716,41864.47,58.47,2.55,58.3
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates rising,1164,29908.67,25.69,1.2,41.7
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil downtrend,928,48119.37,51.85,2.3,69.7
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil uptrend,849,20905.22,24.62,1.11,30.3
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,calm,405,23309.49,57.55,2.5,29.8
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,normal,1206,41272.01,34.22,1.6,52.8
BitcoinReaper_5_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,stressed,370,13622.7,36.82,1.74,17.4
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,DXY,low,strong dollar,990,148882.06,150.39,5.15,52.4
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,DXY,low,weak dollar,891,135488.12,152.06,5.15,47.6
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bear,379,75276.77,198.62,6.7,27.8
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bull,1399,195860.12,140.0,4.66,72.2
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold downtrend,441,84290.43,191.13,6.4,31.1
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold uptrend,1337,186846.46,139.75,4.65,68.9
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bear,788,130814.45,166.01,5.74,47.0
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bull,1053,147291.86,139.88,4.66,53.0
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates falling,716,116224.09,162.32,5.78,40.9
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates rising,1165,168146.09,144.33,4.79,59.1
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil downtrend,928,136472.03,147.06,4.85,50.3
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil uptrend,850,134664.86,158.43,5.34,49.7
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,calm,406,49891.7,122.89,4.12,16.4
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,normal,1206,176519.29,146.37,4.96,57.9
BitcoinReaper_6_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,stressed,370,78356.34,211.77,8.21,25.7
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,DXY,low,strong dollar,990,101538.39,102.56,4.61,55.7
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,DXY,low,weak dollar,891,80913.85,90.81,4.05,44.3
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bear,379,45927.05,121.18,5.79,26.2
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bull,1399,129247.36,92.39,4.06,73.8
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold downtrend,441,49415.26,112.05,5.08,28.2
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold uptrend,1337,125759.15,94.06,4.18,71.8
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bear,788,80631.82,102.32,4.61,45.2
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bull,1053,97818.12,92.89,4.13,54.8
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates falling,716,69192.06,96.64,4.5,37.9
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates rising,1165,113260.18,97.22,4.26,62.1
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil downtrend,928,81403.26,87.72,3.89,46.5
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil uptrend,850,93771.15,110.32,4.98,53.5
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,calm,406,30651.4,75.5,3.33,14.8
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,normal,1206,127494.8,105.72,4.62,61.7
BitcoinReaper_7_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,stressed,370,48588.4,131.32,6.73,23.5
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,DXY,low,strong dollar,990,47123.02,47.6,2.82,49.6
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,DXY,low,weak dollar,891,47911.18,53.77,3.11,50.4
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bear,379,21890.96,57.76,3.57,23.2
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bull,1399,72348.07,51.71,2.94,76.8
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold downtrend,441,22680.75,51.43,2.99,24.1
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold uptrend,1337,71558.28,53.52,3.08,75.9
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bear,788,41455.35,52.61,3.14,44.1
