ea_id,strategy,family,symbol,timeframe,force_symbol,run_strategy,balance,risk_pct_target,hist_max_dd,lot_step,net_profit,realized_dd,realized_dd_pct,equity_dd_pct,trades,first_trade,last_trade,win_rate_pct,hist_max_loss_streak,hist_max_loss_streak_days,hist_max_streak_cost,hist_avg_loss_streak,hist_max_win_streak,largest_single_loss,dd_vs_target,report_path
GOLDTRADEPRO_H_XAUUSD.a_Daily_EVERYTICKREAL,GOLDTRADEPRO_H,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,50.0,1000.0,641.39,1284.67,1.28,1.64,8,2026-05-05 10:02:41,2026-08-05 19:02:40,50.0,3,3,1282.35,2.0,3,593.55,0.26,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GOLDTRADEPRO_H_XAUUSD.a_Daily_EVERYTICKREAL.htm
GOLDTRADEPRO_a_XAUUSD.a_Daily_EVERYTICKREAL,GOLDTRADEPRO_a,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,60.0,1200.0,5829.45,4325.07,4.33,5.05,18,2026-05-06 03:01:36,2026-08-11 08:30:35,61.1,5,3,3322.25,2.33,5,1046.25,0.87,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GOLDTRADEPRO_a_XAUUSD.a_Daily_EVERYTICKREAL.htm
GOLDTRADEPRO_c_XAUUSD.a_Daily_EVERYTICKREAL,GOLDTRADEPRO_c,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,40.0,800.0,1615.79,1499.52,1.45,2.43,6,2026-05-18 06:44:31,2026-06-30 07:33:32,50.0,1,1,1497.98,1.0,2,1497.98,0.29,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GOLDTRADEPRO_c_XAUUSD.a_Daily_EVERYTICKREAL.htm
GOLDTRADEPRO_d_XAUUSD.a_Daily_EVERYTICKREAL,GOLDTRADEPRO_d,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,100.0,2000.0,2386.73,717.7,0.72,1.16,13,2026-05-05 15:24:26,2026-08-11 04:49:39,46.2,2,2,716.4,1.75,3,642.9,0.14,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GOLDTRADEPRO_d_XAUUSD.a_Daily_EVERYTICKREAL.htm
GoldBotOne_dailyA_XAUUSD.a_Daily_EVERYTICKREAL,GoldBotOne_dailyA,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,38.0,760.0,1509.17,1636.62,1.64,2.12,9,2026-05-05 04:13:39,2026-08-05 16:59:31,55.6,2,2,1632.52,2.0,5,1083.61,0.33,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldBotOne_dailyA_XAUUSD.a_Daily_EVERYTICKREAL.htm
GoldBotOne_dailyB_XAUUSD.a_Daily_EVERYTICKREAL,GoldBotOne_dailyB,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,75.0,1500.0,-396.61,1403.69,1.39,3.1,6,2026-05-18 03:49:27,2026-06-30 09:27:38,83.3,1,1,1402.6,1.0,5,1402.6,0.28,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldBotOne_dailyB_XAUUSD.a_Daily_EVERYTICKREAL.htm
GoldBotOne_dailyC_XAUUSD.a_Daily_EVERYTICKREAL,GoldBotOne_dailyC,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,27.0,540.0,883.7,176.7,0.18,0.36,7,2026-05-04 19:09:30,2026-06-30 04:08:02,71.4,1,1,173.58,1.0,4,173.58,0.04,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldBotOne_dailyC_XAUUSD.a_Daily_EVERYTICKREAL.htm
GoldBotOne_dailyD_XAUUSD.a_Daily_EVERYTICKREAL,GoldBotOne_dailyD,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,38.0,760.0,3064.04,2.14,0.0,1.31,6,2026-05-18 03:48:31,2026-06-30 04:08:11,100.0,0,0,-0.0,0.0,6,0.0,,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldBotOne_dailyD_XAUUSD.a_Daily_EVERYTICKREAL.htm
GoldBotOne_dailyE_XAUUSD.a_Daily_EVERYTICKREAL,GoldBotOne_dailyE,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,25.0,500.0,9007.02,1036.77,0.99,3.23,12,2026-05-04 19:19:20,2026-08-05 08:39:27,33.3,4,4,1021.14,2.0,1,1010.25,0.2,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldBotOne_dailyE_XAUUSD.a_Daily_EVERYTICKREAL.htm
GoldBotOne_dailyH_XAUUSD.a_Daily_EVERYTICKREAL,GoldBotOne_dailyH,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,69.0,1380.0,1858.0,811.77,0.81,1.0,16,2026-05-04 21:19:31,2026-08-10 22:51:46,75.0,2,1,809.87,1.33,10,809.87,0.16,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldBotOne_dailyH_XAUUSD.a_Daily_EVERYTICKREAL.htm
