entity,type,indicator,state,days,total_pnl,avg_daily,sharpe,pnl_share_pct
Indicement_US30_1_Daily_US30.a_Daily_EVERYTICKREAL,ea,OIL,oil uptrend,58,-725.16,-12.5,-1.16,42.6
Indicement_US30_1_Daily_US30.a_Daily_EVERYTICKREAL,ea,VIX,normal,74,-1703.39,-23.02,-2.1,100.0
Indicement_US30_2_Daily_US30.a_Daily_EVERYTICKREAL,ea,DXY,strong dollar,7,1214.16,173.45,6.48,100.0
Indicement_US30_2_Daily_US30.a_Daily_EVERYTICKREAL,ea,SP500,stocks bull,7,1214.16,173.45,6.48,100.0
Indicement_US30_2_Daily_US30.a_Daily_EVERYTICKREAL,ea,GOLD,gold downtrend,7,1214.16,173.45,6.48,100.0
Indicement_US30_2_Daily_US30.a_Daily_EVERYTICKREAL,ea,BTC,crypto bear,7,1214.16,173.45,6.48,100.0
Indicement_US30_2_Daily_US30.a_Daily_EVERYTICKREAL,ea,US10Y,rates rising,7,1214.16,173.45,6.48,100.0
Indicement_US30_2_Daily_US30.a_Daily_EVERYTICKREAL,ea,OIL,oil downtrend,1,1214.16,1214.16,0.0,100.0
Indicement_US30_2_Daily_US30.a_Daily_EVERYTICKREAL,ea,OIL,oil uptrend,6,0.0,0.0,0.0,0.0
Indicement_US30_2_Daily_US30.a_Daily_EVERYTICKREAL,ea,VIX,normal,7,1214.16,173.45,6.48,100.0
Indicement_US30_3_Daily_US30.a_Daily_EVERYTICKREAL,ea,DXY,strong dollar,66,-1046.89,-15.86,-1.96,81.0
Indicement_US30_3_Daily_US30.a_Daily_EVERYTICKREAL,ea,DXY,weak dollar,8,-246.0,-30.75,-6.0,19.0
Indicement_US30_3_Daily_US30.a_Daily_EVERYTICKREAL,ea,SP500,stocks bull,74,-1292.89,-17.47,-2.23,100.0
Indicement_US30_3_Daily_US30.a_Daily_EVERYTICKREAL,ea,GOLD,gold downtrend,47,-1027.08,-21.85,-2.63,79.4
Indicement_US30_3_Daily_US30.a_Daily_EVERYTICKREAL,ea,GOLD,gold uptrend,27,-265.81,-9.84,-1.42,20.6
Indicement_US30_3_Daily_US30.a_Daily_EVERYTICKREAL,ea,BTC,crypto bear,74,-1292.89,-17.47,-2.23,100.0
Indicement_US30_3_Daily_US30.a_Daily_EVERYTICKREAL,ea,US10Y,rates rising,74,-1292.89,-17.47,-2.23,100.0
Indicement_US30_3_Daily_US30.a_Daily_EVERYTICKREAL,ea,OIL,oil downtrend,16,625.83,39.11,3.87,-48.4
Indicement_US30_3_Daily_US30.a_Daily_EVERYTICKREAL,ea,OIL,oil uptrend,58,-1918.72,-33.08,-4.88,148.4
Indicement_US30_3_Daily_US30.a_Daily_EVERYTICKREAL,ea,VIX,normal,74,-1292.89,-17.47,-2.23,100.0
Indicement_US30_4_Daily_US30.a_Daily_EVERYTICKREAL,ea,DXY,strong dollar,70,-285.29,-4.08,-0.6,53.2
Indicement_US30_4_Daily_US30.a_Daily_EVERYTICKREAL,ea,DXY,weak dollar,10,-250.87,-25.09,-6.69,46.8
Indicement_US30_4_Daily_US30.a_Daily_EVERYTICKREAL,ea,SP500,stocks bull,80,-536.16,-6.7,-1.03,100.0
Indicement_US30_4_Daily_US30.a_Daily_EVERYTICKREAL,ea,GOLD,gold downtrend,52,-231.37,-4.45,-0.69,43.2
Indicement_US30_4_Daily_US30.a_Daily_EVERYTICKREAL,ea,GOLD,gold uptrend,28,-304.79,-10.89,-1.66,56.8
Indicement_US30_4_Daily_US30.a_Daily_EVERYTICKREAL,ea,BTC,crypto bear,80,-536.16,-6.7,-1.03,100.0
Indicement_US30_4_Daily_US30.a_Daily_EVERYTICKREAL,ea,US10Y,rates rising,80,-536.16,-6.7,-1.03,100.0
Indicement_US30_4_Daily_US30.a_Daily_EVERYTICKREAL,ea,OIL,oil downtrend,17,136.2,8.01,2.7,-25.4
Indicement_US30_4_Daily_US30.a_Daily_EVERYTICKREAL,ea,OIL,oil uptrend,63,-672.36,-10.67,-1.5,125.4
Indicement_US30_4_Daily_US30.a_Daily_EVERYTICKREAL,ea,VIX,calm,2,-95.62,-47.81,-15.87,17.8
Indicement_US30_4_Daily_US30.a_Daily_EVERYTICKREAL,ea,VIX,normal,78,-440.54,-5.65,-0.86,82.2
Indicement_US500a_H1_US500.a_H1_EVERYTICKREAL,ea,DXY,strong dollar,69,-1102.68,-15.98,-1.34,93.6
Indicement_US500a_H1_US500.a_H1_EVERYTICKREAL,ea,DXY,weak dollar,8,-76.01,-9.5,-1.23,6.4
Indicement_US500a_H1_US500.a_H1_EVERYTICKREAL,ea,SP500,stocks bull,77,-1178.69,-15.31,-1.32,100.0
Indicement_US500a_H1_US500.a_H1_EVERYTICKREAL,ea,GOLD,gold downtrend,52,-1243.03,-23.9,-1.88,105.5
Indicement_US500a_H1_US500.a_H1_EVERYTICKREAL,ea,GOLD,gold uptrend,25,64.34,2.57,0.3,-5.5
Indicement_US500a_H1_US500.a_H1_EVERYTICKREAL,ea,BTC,crypto bear,77,-1178.69,-15.31,-1.32,100.0
Indicement_US500a_H1_US500.a_H1_EVERYTICKREAL,ea,US10Y,rates rising,77,-1178.69,-15.31,-1.32,100.0
Indicement_US500a_H1_US500.a_H1_EVERYTICKREAL,ea,OIL,oil downtrend,17,-556.4,-32.73,-2.66,47.2
