entity,type,indicator,state,days,total_pnl,avg_daily,sharpe,pnl_share_pct
FAMILY: GoldTradePro Packaged,family,GOLD,gold uptrend,766,23010.75,30.04,3.3,82.7
FAMILY: GoldTradePro Packaged,family,BTC,crypto bear,457,13051.43,28.56,3.08,42.8
FAMILY: GoldTradePro Packaged,family,BTC,crypto bull,622,17455.36,28.06,3.12,57.2
FAMILY: GoldTradePro Packaged,family,US10Y,rates falling,413,11310.62,27.39,3.07,37.4
FAMILY: GoldTradePro Packaged,family,US10Y,rates rising,694,18941.78,27.29,2.99,62.6
FAMILY: GoldTradePro Packaged,family,OIL,oil downtrend,522,11339.07,21.72,2.66,40.7
FAMILY: GoldTradePro Packaged,family,OIL,oil uptrend,516,16491.83,31.96,3.3,59.3
FAMILY: GoldTradePro Packaged,family,VIX,calm,259,7460.56,28.81,3.17,23.0
FAMILY: GoldTradePro Packaged,family,VIX,normal,679,18959.68,27.92,3.04,58.4
FAMILY: GoldTradePro Packaged,family,VIX,stressed,228,6042.47,26.5,2.85,18.6
POOL: all robots,pool,DXY,strong dollar,591,380737.42,644.23,4.54,51.0
POOL: all robots,pool,DXY,weak dollar,516,366381.32,710.04,4.09,49.0
POOL: all robots,pool,SP500,stocks bear,216,167447.46,775.22,5.18,23.8
POOL: all robots,pool,SP500,stocks bull,822,535159.9,651.05,4.1,76.2
POOL: all robots,pool,GOLD,gold downtrend,272,118363.57,435.16,3.26,16.8
POOL: all robots,pool,GOLD,gold uptrend,766,584243.79,762.72,4.64,83.2
POOL: all robots,pool,BTC,crypto bear,457,309000.11,676.15,4.15,41.3
POOL: all robots,pool,BTC,crypto bull,622,439006.03,705.8,4.54,58.7
POOL: all robots,pool,US10Y,rates falling,413,311251.52,753.64,4.87,41.7
POOL: all robots,pool,US10Y,rates rising,694,435867.22,628.05,3.95,58.3
POOL: all robots,pool,OIL,oil downtrend,522,379937.22,727.85,4.36,54.1
POOL: all robots,pool,OIL,oil uptrend,516,322670.14,625.33,4.27,45.9
POOL: all robots,pool,VIX,calm,259,157487.54,608.06,3.77,20.1
POOL: all robots,pool,VIX,normal,679,497123.18,732.14,4.5,63.4
POOL: all robots,pool,VIX,stressed,228,129059.93,566.05,4.03,16.5
