date,GoldBotOne_Pkg,GoldPhantom_Pkg_Conservative,GoldPhantom_Pkg_ExtremeConservative,GoldPhantom_Pkg_Moderate,GoldReaper_Pkg_Conservative,GoldReaper_Pkg_ExtremeConservative,GoldReaper_Pkg_Intense,GoldReaper_Pkg_Moderate,GoldTradePro_Pkg
2019-02-27,40.91,30.32,0.0,33.66,98.44,0.0,180.78,146.48,0.0
2019-02-28,-25.59,-248.02,-186.15,-173.34,136.55,0.0,91.57,57.29,12.76
2019-03-01,432.76,0.0,0.0,197.9,219.89,366.01,403.9,143.28,191.07
2019-03-04,0.0,529.62,411.62,431.86,0.0,0.0,92.99,0.0,68.77
2019-03-05,0.0,0.0,0.0,2.97,13.36,0.0,13.41,16.33,0.0
2019-03-06,0.0,0.0,0.0,81.31,0.0,0.0,0.0,0.0,0.0
2019-03-07,0.0,-56.94,0.0,-73.36,0.0,0.0,0.0,0.0,0.0
2019-03-08,0.0,34.92,0.0,61.36,269.91,0.0,-552.89,-249.15,18.4
2019-03-12,0.0,29.6,0.0,27.69,20.91,0.0,14.78,22.55,0.0
2019-03-13,0.0,0.0,0.0,0.0,0.0,0.0,455.64,275.22,0.0
2019-03-14,0.0,-20.72,0.0,-17.49,0.0,0.0,0.0,0.0,37.28
2019-03-18,0.0,0.0,0.0,-101.23,0.0,0.0,0.0,0.0,0.0
2019-03-19,0.0,0.0,0.0,0.0,-140.63,0.0,-84.53,-133.72,-51.25
2019-03-20,42.58,-30.77,0.0,-46.8,-274.46,-71.06,-822.6,-207.62,-83.7
2019-03-21,55.65,-99.6,-103.72,-91.66,0.0,0.0,0.0,0.0,0.0
2019-03-25,0.0,37.88,0.0,59.12,32.21,0.0,38.38,25.82,0.0
2019-03-26,0.0,-71.96,0.0,-59.23,0.0,0.0,0.0,-84.94,-8.54
2019-03-27,0.0,16.26,0.0,26.72,19.37,0.0,127.67,170.16,0.0
2019-03-28,0.0,14.94,0.0,96.71,0.0,0.0,475.3,144.48,0.0
2019-03-29,0.0,0.0,0.0,48.09,45.35,0.0,19.17,28.75,65.58
2019-04-02,0.0,19.56,0.0,18.06,35.06,0.0,102.5,93.18,0.0
2019-04-04,0.0,-95.51,-50.9,-116.27,-137.15,-457.57,157.86,115.43,-421.98
2019-04-05,0.0,-73.53,0.0,-98.84,-957.39,-931.19,-608.2,-719.91,0.0
2019-04-08,0.0,145.68,0.0,135.73,426.68,0.0,821.32,622.89,43.06
2019-04-09,0.0,0.0,0.0,6.52,51.16,0.0,30.04,15.7,0.0
2019-04-10,0.0,0.0,0.0,1.52,17.28,0.0,5.88,11.87,0.0
2019-04-11,0.0,0.0,0.0,0.0,0.0,0.0,-47.78,0.0,0.0
2019-04-12,0.0,0.0,0.0,0.0,-7.32,0.0,-26.1,-7.7,0.0
2019-04-15,0.0,34.26,0.0,36.7,44.46,0.0,356.38,340.96,0.0
2019-04-16,124.59,0.0,0.0,17.86,115.55,176.6,216.21,205.59,314.72
2019-04-17,161.13,-16.72,0.0,-29.57,-40.04,0.0,-57.97,-41.22,40.7
2019-04-18,0.0,57.2,0.0,94.11,941.8,1255.21,792.72,696.6,0.0
2019-04-22,0.0,73.02,0.0,95.89,0.0,0.0,0.0,0.0,0.0
2019-04-23,0.0,103.62,0.0,189.6,549.27,0.0,1193.16,959.36,7.06
2019-04-24,0.0,573.17,688.79,457.35,0.0,0.0,0.0,0.0,0.0
2019-04-25,-54.59,71.72,0.0,83.59,81.65,0.0,114.42,89.3,-11.48
2019-04-26,102.14,-70.31,0.0,-59.42,18.7,0.0,0.0,0.0,0.0
2019-04-29,15.11,-63.52,-77.6,-51.48,0.0,0.0,5.95,8.96,0.0
2019-05-01,0.0,-52.32,0.0,-57.41,18.64,0.0,-549.19,-602.55,0.0
2019-05-02,-108.32,-82.23,0.0,-60.49,-50.95,-192.99,-23.06,-38.02,-306.84
2019-05-03,0.0,-80.9,-98.48,-108.98,-331.75,-438.42,-273.61,-332.37,-59.31
2019-05-07,0.0,0.0,0.0,-15.48,-37.8,0.0,-52.96,-52.46,0.0
2019-05-08,-29.72,-130.55,-92.08,-109.82,-0.73,0.0,289.29,-19.02,-3.32
2019-05-09,0.0,-196.35,-239.5,-153.65,0.0,0.0,0.0,0.0,0.0
2019-05-13,197.43,36.11,0.0,70.99,464.07,246.75,574.04,468.23,245.2
2019-05-14,345.63,104.39,127.04,120.27,0.0,0.0,0.0,0.0,62.78
2019-05-15,0.0,20.95,8.2,16.39,22.84,0.0,6.19,11.91,0.0
2019-05-16,0.0,36.54,0.0,50.39,28.73,0.0,511.36,255.56,0.0
2019-05-17,0.0,14.82,0.0,27.03,23.57,0.0,547.55,128.62,0.0
2019-05-20,0.0,0.0,0.0,0.0,0.0,0.0,86.74,0.0,43.58
2019-05-21,0.0,14.58,0.0,20.78,111.97,0.0,91.9,204.52,0.0
2019-05-23,0.0,71.88,0.0,55.47,173.74,0.0,152.39,174.47,0.0
2019-05-27,0.0,-6.6,0.0,-4.96,0.0,0.0,-4.69,-3.1,0.0
2019-05-28,0.0,-189.6,0.0,-434.15,-602.68,0.0,-816.07,-581.19,0.0
2019-05-30,0.0,54.25,0.0,63.55,169.2,0.0,-387.61,-606.6,-4.03
2019-05-31,457.5,401.25,256.03,311.85,0.0,0.0,279.26,134.91,166.51
2019-06-03,360.61,215.9,265.26,341.7,1171.58,614.24,443.94,648.64,250.77
2019-06-04,211.12,0.0,0.0,0.0,0.0,0.0,2.84,4.88,2.37
2019-06-05,412.76,2020.33,2477.39,1664.79,917.49,0.0,494.59,528.55,0.0
2019-06-07,-199.93,-64.85,-80.57,-53.06,-164.13,-262.2,-68.65,-97.88,0.0
2019-06-10,0.0,-146.25,-182.82,-121.88,-771.9,-1229.82,-306.16,-229.17,0.0
2019-06-13,0.0,0.0,0.0,-32.86,284.31,0.0,41.0,66.61,0.0
2019-06-14,349.66,43.97,-35.68,68.36,1809.98,1693.27,1298.29,1643.13,786.93
2019-06-19,53.62,33.88,0.0,68.19,294.26,0.0,388.48,627.2,78.12
2019-06-20,740.12,1301.03,1381.0,1211.33,324.48,0.26,204.0,139.64,123.87
2019-06-21,0.0,0.0,0.0,1.92,5.28,0.0,13.0,9.59,0.0
2019-06-24,0.0,14.46,0.0,65.46,182.42,0.0,416.7,316.32,0.0
2019-07-01,0.0,36.46,0.0,82.34,154.53,0.0,510.38,393.79,0.0
2019-07-03,158.64,36.13,0.0,90.82,-218.02,-390.83,364.31,210.92,28.38
2019-07-09,0.0,-183.43,0.0,-193.54,-464.66,0.0,-840.72,-1161.71,0.0
2019-07-10,0.0,0.0,0.0,-62.19,0.0,0.0,0.0,0.0,0.0
2019-07-11,0.0,14.57,0.0,22.64,0.0,0.0,19.06,-195.99,-24.78
2019-07-16,0.0,0.0,0.0,0.0,0.0,0.0,-2.18,0.0,0.0
2019-07-17,0.0,-1.09,0.0,11.97,-599.41,0.0,-201.92,-1599.51,0.0
2019-07-18,175.29,-24.06,106.05,-66.21,-113.28,1144.37,-401.73,-366.16,196.19
